基隆市	372100	-0.01	-1.05	1.04	40508	10.89	279643	75.15	51949	13.96	100.51	128.24	80.09
新北市	3979208	2.15	2.79	-0.63	507423	12.75	3005876	75.54	465909	11.71	96.32	91.82	80.96
台北市	2695704	-3.37	3.71	-7.08	375128	13.92	1901446	70.54	419130	15.55	91.7	111.73	83.43
桃園市	2147763	19.74	5.24	14.5	329307	15.33	1599031	74.45	219425	10.22	99.57	66.63	80.53
新竹縣	547481	9.98	3.23	6.76	91690	16.75	391751	71.56	64040	11.7	104.7	69.84	79.8
新竹市	437337	7.52	4.32	3.2	76283	17.44	312913	71.55	48141	11.01	97.77	63.11	80.73
苗栗縣	559189	-8.41	-0.59	-7.82	76178	13.62	400240	71.58	82771	14.8	106.56	108.65	79.1
台中市	2767239	8.27	3.17	5.1	409212	14.79	2056123	74.3	301904	10.91	97.53	73.78	80.09
彰化縣	1287146	-1.5	2.66	-4.15	175423	13.63	928761	72.16	182962	14.21	104.18	104.3	79.95
南投縣	505163	-8.53	-2.6	-5.93	58294	11.54	366734	72.6	80135	15.86	105.21	137.47	78.11
雲林縣	694873	-6.83	-3.53	-3.3	84610	12.18	491499	70.73	118764	17.09	108.11	140.37	78.07
嘉義縣	515320	-8.73	-5.43	-3.3	52919	10.27	370167	71.83	92234	17.9	108.45	174.29	78.38
嘉義市	269874	-1.82	0.54	-2.36	38588	14.3	195018	72.26	36268	13.44	94.91	93.99	79.79
台南市	1886033	0.26	-0.28	0.55	236571	12.54	1389761	73.69	259701	13.77	100.01	109.78	79.58
高雄市	2779371	0.16	0.14	0.02	343793	12.37	2061974	74.19	373604	13.44	98.48	108.67	78.86
屏東縣	835792	-6.51	-4.07	-2.44	93786	11.22	614990	73.58	127016	15.2	104.83	135.43	77.07
宜蘭縣	457538	-1.26	-0.57	-0.69	56836	12.42	332894	72.76	67808	14.82	102.62	119.3	79.43
花蓮縣	330911	-3.12	-2.21	-0.91	41252	12.47	241010	72.83	48649	14.7	103.59	117.93	76.65
台東縣	220802	-7.44	-4.63	-2.81	27326	12.38	160416	72.65	33060	14.97	107.14	120.98	75.22
澎湖縣	103263	9.33	0.29	9.04	11486	11.12	76198	73.79	15579	15.09	106.07	135.63	79.56
金門縣	135114	17.28	4.57	12.71	13674	10.12	105671	78.21	15769	11.67	100.04	115.32	0
連江縣	12595	3.82	8.67	-4.85	1594	12.66	9714	77.13	1287	10.22	132.51	80.74	0
