AS	AS_S	Low	Afghanistan	1300	2232	5038	4	5.1	9	17.5	22.5	29.8	59.82	29724323	0.479	623
E	E_S	Upper-middle	Albania	515	752	838	17.8	25.5	30.9	34.3	39	47.6	77.49	2876591	0.764	3984
AF	AF_N	Upper-middle	Algeria	3573	6413	12988	9	13.3	23	27.6	31.9	37.1	74.42	41697498	0.745	
AF	AF_M	Upper-middle	Angola	959	1652	3609	3.8	4.2	5.5	16.1	17.7	21	51.68	28359634	0.533	4714
LAC	C	High	Antigua and Barbuda	10	21	28	10.8	19.7	24.9	30.9	35.3	40.6	75.82	100963	0.786	14764
LAC	AM_S	High	Argentina	6559	8634	13084	15.1	17.5	23.6	30.8	34.1	38.6	76.01	44044811	0.827	14565
AS	AS_W	Lower-middle	Armenia	493	712	902	16.3	23.8	33.1	34.6	41.4	46.9	74.56	2979900	0.743	3489
LAC	C	High	Aruba	19	30	29	18.5	28.4	28.8	40.2	42	45.6	75.39	110882		26005
O	AU_NZ	High	Australia	4887	7014	9483	20.4	24.6	28.3	37.5	39.8	41.4	82.1	24693600	0.939	51352
E	E_W	High	Austria	2064	2864	3282	24.2	32.4	37.1	43.2	46.5	49.7	81.09	8794267	0.893	44118
AS	AS_W	Upper-middle	Azerbaijan	980	1885	2675	10	17.6	24.4	30.9	37.1	38.6	70.62	9867250	0.759	5439
LAC	C	High	Bahamas	49	90	133	12.5	20.1	27.1	32.4	37.6	42	75.15	378040	0.792	22817
AS	AS_W	High	Bahrain	53	178	432	3.9	10.8	23.7	30.3	35.6	42.2	76.38	1451200	0.824	22600
AS	AS_S	Lower-middle	Bangladesh	11235	21526	43491	7	11.5	21.5	25.6	31.5	39.6	71.01	163359000	0.579	1208
LAC	C	High	Barbados	56	81	88	19.8	27.7	31.1	38.5	41.9	43.4	75.37	285719	0.795	15429
E	E_E	Upper-middle	Belarus	1927	2260	2410	20.3	25.2	29.7	39.6	42.8	42.2	71.08	9495500	0.796	5751
E	E_W	High	Belgium	2725	3544	4079	24.1	29.5	32.6	41.5	43.6	44.6	80.53	11370968	0.896	40278
LAC	AM_C	Upper-middle	Belize	21	42	86	5.9	8.9	14.7	23.5	28.4	34	69.76	380010	0.706	4789
AF	AF_W	Low	Benin	501	873	1789	4.6	5.6	7.9	18.6	21.1	25.1	59.2	11002578	0.485	779
AS	AS_S	Lower-middle	Bhutan	57	102	233	7.4	11.6	24.5	26.7	33.7	41.9	68.88	792610	0.607	2677
LAC	AM_S	Lower-middle	Bolivia	988	1499	2714	9.2	11.4	17	24.1	28.2	33.6	67.72	11145770	0.674	3077
E	E_S	Upper-middle	Bosnia and Herz.	853	1097	1244	22.4	30.6	40.5	41.5	47.2	53.2	76.26	3518000	0.75	4265
AF	AF_S	Upper-middle	Botswana	133	224	531	5.9	8	15.7	24.2	28	33.6	64.12	2230905	0.698	6361
LAC	AM_S	Upper-middle	Brazil	24392	42879	69882	11.7	18.8	29.3	31.3	37.4	44.8	74.05	208168000	0.754	8528
AS	AS_S	High	Brunei	32	85	169	7.6	17.1	30.9	30.6	37.8	45.4	78.44	417200	0.865	30553
E	E_E	Upper-middle	Bulgaria	1926	1898	1877	26.9	30.1	36.4	43.5	47.1	47.8	74.04	7101859	0.794	6847
