Country or area		Population aged 60 or over (thousands)			Percentage aged 60 or over			Median age (years)			Population
		2015	2030	2050	2015	2030	2050	2015	2030	2050	2015
World		900906	1402405	2091966	12.3	16.5	21.5	29.6	33.1	36.1	5829425557
											
More developed regions		298783	375219	421449	23.9	29.2	32.8	41.2	44.1	45.1	
Less developed regions		602123	1027187	1670517	9.9	14.2	19.8	27.8	31.3	34.9	
	Least developed countries	52066	88531	185600	5.5	6.7	9.8	19.7	22.3	26.1	
	Other less developed countries	550057	938655	1484917	10.7	15.9	22.7	29.3	33.8	37.8	
	Less developed regions, excluding China	386862	658943	1166149	8.2	11.4	16.5	25.2	28.5	32.6	
High-income countries		309662	408853	483125	22.1	27.7	31.9	39.7	42.9	44.7	
Middle-income countries		557662	938759	1493047	10.5	15.4	21.9	28.9	33.2	37.1	
	Upper-middle-income countries	320158	544856	800567	13.4	21.2	30.5	33.5	39.7	44.1	
	Lower-middle-income countries	237504	393903	692480	8.1	11.2	16.5	25.3	28.8	33.4	
Low-income countries		33161	54040	114777	5.2	5.8	8.3	18.5	20.7	24.6	
Sub-Saharan Africa		46455	74504	161077	4.8	5.3	7.6	18.3	20.1	23.7	
											
Africa		64447	105387	220341	5.4	6.3	8.9	19.4	21.2	24.8	994527534
	Eastern Africa	18868	30818	72436	4.8	5.3	8.2	18	20.4	24.6	
	Middle Africa	6901	11267	24411	4.5	4.9	6.6	17.1	18.9	22.5	
	Northern Africa	17992	30883	59264	8	10.9	16.7	25.1	27.7	32.2	
	Southern Africa	4680	6958	11477	7.5	9.9	14.7	25.2	28.6	33.2	
	Western Africa	16006	25462	52752	4.5	4.9	6.6	18	19.4	22.6	
											
Asia		507954	844487	1293710	11.6	17.2	24.6	30.3	35.4	39.9	4140336501
	Eastern Asia	269797	435155	578413	16.7	26.4	36.9	37.9	43.7	49.9	
	Central Asia	5313	9402	15677	7.9	11.9	17.7	26.5	30.2	34.4	
	Southern Asia	153490	256153	460096	8.4	11.9	19	26.1	30.6	36.7	
	South-Eastern Asia	59008	106415	167320	9.3	14.7	21.1	28.8	33.1	37.6	
	Western Asia	20346	37363	72204	7.9	11.6	18.3	26.3	29.9	34.3	
											
Europe		176513	217220	242001	23.9	29.6	34.2	41.7	45.1	46.2	738523843
	Eastern Europe	63091	71662	80314	21.5	25.7	31.9	39.6	43.8	43.9	
	Northern Europe	23968	30820	36041	23.4	28	30.7	40.3	42.1	43.3	
	Southern Europe	39914	50712	56844	26.2	33.9	40	43.9	49.3	51.3	
	Western Europe	49540	64026	68802	26	32.7	35.2	43.7	45.8	47.4	
											
Latin America and the Caribbean		70922	120959	200031	11.2	16.8	25.5	29.2	34.5	41.2	528720588
	Caribbean	5745	8946	12214	13.3	19.2	25.4	30.2	34.9	40.2	
	Central America	16144	28786	53062	9.3	14.2	23.2	26.6	32.1	39.5	
	South America	49033	83227	134756	11.7	17.7	26.6	30.2	35.5	42	
											
Northern America		74589	104799	122679	20.8	26.4	28.3	38.3	40.4	42.1	385742554
											
Oceania		6481	9553	13204	16.5	20.2	23.3	32.9	35.1	37.4	36102071
	Australia/New Zealand	5808	8391	11133	20.4	25	28.5	37.6	39.9	41.6	
	Melanesia	555	950	1771	5.8	7.7	11.1	22	24.8	28.9	
	Micronesia	51	95	133	9.7	15.6	19.3	26.3	30.3	34.9	
	Polynesia	67	117	167	9.8	15.6	20.4	26.2	30.2	35.1	
											5829425557
